日付,曜日,駅,定期（通勤）,定期（通学）,IC大人,IC小児,,,
2019/2/27,水,西神中央,6026,1765,6776,33,,,
2019/2/28,木,三宮,13443,2758,17097,32,,,
2019/2/28,木,西神中央,6057,1646,6590,30,,,
2019/3/1,金,三宮,13472,2868,19177,44,,,
2019/3/1,金,西神中央,6128,1651,7330,29,,,
2019/3/2,土,三宮,6302,1877,17052,82,,,
2019/3/2,土,西神中央,2309,1125,4751,37,,,
2019/3/3,日,三宮,4762,1350,13563,48,,,
2019/3/3,日,西神中央,1631,639,3395,22,,,
2019/3/4,月,三宮,13347,2620,15957,26,,,
2019/3/4,月,西神中央,6074,1669,6201,27,,,
2019/3/5,火,三宮,13448,2741,18222,25,,,
2019/3/5,火,西神中央,6111,1699,7063,46,,,
2019/3/6,水,三宮,13443,2660,17398,29,,,
2019/3/6,水,西神中央,6072,1644,6468,23,,,
2019/3/7,木,三宮,13243,2656,17613,33,,,
2019/3/7,木,西神中央,5968,1632,6592,31,,,
2019/3/8,金,三宮,13184,2656,20536,51,,,
2019/3/8,金,西神中央,5876,1548,7304,34,,,
2019/3/9,土,三宮,6355,2170,17236,83,,,
2019/3/9,土,西神中央,2381,1087,4847,41,,,
2019/3/10,日,三宮,4836,1483,14173,71,,,
2019/3/10,日,西神中央,1581,704,3569,29,,,
2019/3/11,月,三宮,13271,2484,17301,36,,,
2019/3/11,月,西神中央,5977,1636,6863,22,,,
2019/3/12,火,三宮,13454,2439,19648,26,,,
2019/3/12,火,西神中央,6041,1100,7239,43,,,
2019/3/13,水,三宮,13479,2449,21048,47,,,
2019/3/13,水,西神中央,6029,973,6988,37,,,
2019/3/14,木,三宮,13435,2360,19026,31,,,
2019/3/14,木,西神中央,6058,1110,7077,35,,,
2019/3/15,金,三宮,13434,2335,21657,42,,,
2019/3/15,金,西神中央,5993,1294,7630,37,,,
2019/3/16,土,三宮,6319,1960,18003,81,,,
2019/3/16,土,西神中央,2367,997,4809,46,,,
2019/3/17,日,三宮,4848,1534,15713,84,,,
2019/3/17,日,西神中央,1664,723,3940,45,,,
2019/3/18,月,三宮,13287,2451,18703,37,,,
2019/3/18,月,西神中央,6073,1348,6992,24,,,
2019/3/19,火,三宮,13293,2177,18972,33,,,
2019/3/19,火,西神中央,6052,1467,7339,51,,,
2019/3/20,水,三宮,13314,2415,21710,65,,,
2019/3/20,水,西神中央,6014,1451,8269,47,,,
2019/3/21,祝,三宮,5496,1602,14429,49,,,
2019/3/21,祝,西神中央,2117,831,4038,10,,,
2019/3/22,金,三宮,12576,2259,20772,98,,,
2019/3/22,金,西神中央,5427,1510,7001,39,,,
2019/3/23,土,三宮,6333,1803,18993,165,,,
2019/3/23,土,西神中央,2352,1007,4976,39,,,
2019/3/24,日,三宮,4848,1500,16475,87,,,
2019/3/24,日,西神中央,1618,711,4226,31,,,
2019/3/25,月,三宮,13433,2055,18946,125,,,
2019/3/25,月,西神中央,6133,1095,7096,42,,,
2019/3/26,火,三宮,13371,2022,20273,169,,,
2019/3/26,火,西神中央,6068,1113,7249,79,,,
2019/3/27,水,三宮,13301,2000,20052,180,,,
2019/3/27,水,西神中央,5987,1032,7235,70,,,
2019/3/28,木,三宮,13404,2080,20437,167,,,
2019/3/28,木,西神中央,6042,1010,7161,82,,,
2019/3/29,金,三宮,13482,2008,21634,189,,,
2019/3/29,金,西神中央,6013,1037,7482,57,,,
2019/3/30,土,三宮,6413,1590,18038,100,,,
2019/3/30,土,西神中央,2357,829,4580,35,,,
2019/3/31,日,三宮,5276,1371,15695,93,,,
2019/3/31,日,西神中央,1712,637,4038,28,,,
2019/4/1,月,三宮,13949,1910,17762,103,,,
2019/4/1,月,西神中央,6262,941,6622,38,,,
2019/4/2,火,三宮,13816,2465,18144,110,,,
2019/4/2,火,西神中央,6259,1098,6687,66,,,
2019/4/3,水,三宮,13801,2757,18506,124,,,
2019/4/3,水,西神中央,6222,1231,6985,71,,,
2019/4/4,木,三宮,13896,2865,19402,127,,,
2019/4/4,木,西神中央,6237,1237,7068,60,,,
2019/4/5,金,三宮,13782,3388,21132,85,,,
2019/4/5,金,西神中央,6180,1420,7561,52,,,
2019/4/6,土,三宮,6495,2573,17644,82,,,
2019/4/6,土,西神中央,2373,1055,5296,25,,,
2019/4/7,日,三宮,5062,1660,14499,65,,,
2019/4/7,日,西神中央,1696,680,4059,24,,,
