状況_年月日,全国地方公共団体コード,都道府県名,市区町村名,入院等,調整中,入院等・調整中内訳_無症状,入院等・調整中内訳_軽症・中等症,入院等・調整中内訳_重症,入院等・調整中内訳_確認中,退院,死亡,陽性者数_累計
2021/7/11,401005,福岡県,北九州市,125,20,25,117,3,0,4930,89,5164
2021/7/12,401005,福岡県,北九州市,130,14,23,118,3,0,4940,89,5173
2021/7/13,401005,福岡県,北九州市,144,11,25,127,3,0,4942,89,5186
2021/7/14,401005,福岡県,北九州市,143,17,25,132,3,0,4953,89,5202
2021/7/15,401005,福岡県,北九州市,139,15,24,128,2,0,4969,89,5212
2021/7/16,401005,福岡県,北九州市,141,16,25,129,2,1,4980,89,5226
2021/7/17,401005,福岡県,北九州市,138,17,24,129,2,0,4994,89,5238
2021/7/18,401005,福岡県,北九州市,137,20,23,132,2,0,5005,89,5251
2021/7/19,401005,福岡県,北九州市,132,15,20,124,3,0,5020,89,5256
2021/7/20,401005,福岡県,北九州市,126,13,15,121,3,0,5039,89,5267
2021/7/21,401005,福岡県,北九州市,120,24,15,126,3,0,5056,89,5289
2021/7/22,401005,福岡県,北九州市,124,28,16,133,3,0,5072,89,5313
2021/7/23,401005,福岡県,北九州市,140,31,16,147,3,5,5077,89,5337
2021/7/24,401005,福岡県,北九州市,142,28,17,150,3,0,5086,89,5345
2021/7/25,401005,福岡県,北九州市,156,38,20,165,3,6,5094,89,5377
2021/7/26,401005,福岡県,北九州市,165,31,22,170,3,1,5111,89,5396
2021/7/27,401005,福岡県,北九州市,170,44,24,183,2,5,5125,90,5429
2021/7/28,401005,福岡県,北九州市,184,52,30,202,4,0,5141,90,5467
2021/7/29,401005,福岡県,北九州市,203,52,36,214,4,1,5155,90,5500
2021/7/30,401005,福岡県,北九州市,223,50,39,219,5,10,5174,90,5537
2021/7/31,401005,福岡県,北九州市,236,53,42,242,5,0,5193,90,5572
2021/8/1,401005,福岡県,北九州市,255,72,42,265,5,15,5204,90,5621
2021/8/2,401005,福岡県,北九州市,258,68,44,277,4,1,5228,91,5645
2021/8/3,401005,福岡県,北九州市,266,105,47,293,3,28,5257,92,5720
2021/8/4,401005,福岡県,北九州市,302,125,56,346,4,21,5277,92,5796
2021/8/5,401005,福岡県,北九州市,359,133,67,387,3,35,5305,92,5889
2021/8/6,401005,福岡県,北九州市,389,145,73,408,2,51,5348,92,5974
2021/8/7,401005,福岡県,北九州市,410,178,81,445,2,60,5372,92,6052
2021/8/8,401005,福岡県,北九州市,445,172,87,488,2,40,5408,92,6117
2021/8/9,401005,福岡県,北九州市,493,159,88,538,2,24,5425,92,6169
2021/8/10,401005,福岡県,北九州市,517,158,90,559,3,23,5471,92,6238
2021/8/11,401005,福岡県,北九州市,570,199,97,607,2,63,5499,93,6361
2021/8/12,401005,福岡県,北九州市,632,224,104,641,1,110,5540,93,6489
2021/8/13,401005,福岡県,北九州市,651,296,124,660,2,161,5606,93,6646
2021/8/14,401005,福岡県,北九州市,678,307,134,726,3,122,5670,93,6748
2021/8/15,401005,福岡県,北九州市,731,260,143,751,3,94,5743,93,6827
2021/8/16,401005,福岡県,北九州市,779,218,154,792,4,47,5810,95,6902
2021/8/17,401005,福岡県,北九州市,793,284,157,849,6,65,5859,95,7031
2021/8/18,401005,福岡県,北九州市,783,389,141,808,6,217,5992,95,7259
2021/8/19,401005,福岡県,北九州市,824,448,140,820,6,306,6080,95,7447
2021/8/20,401005,福岡県,北九州市,838,560,141,942,6,309,6160,95,7653
2021/8/21,401005,福岡県,北九州市,995,487,157,1051,7,267,6251,95,7828
2021/8/22,401005,福岡県,北九州市,981,584,168,1119,7,271,6354,95,8014
2021/8/23,401005,福岡県,北九州市,1061,515,181,1154,7,234,6462,95,8133
2021/8/24,401005,福岡県,北九州市,1155,471,197,1175,6,248,6569,95,8290
2021/8/25,401005,福岡県,北九州市,1233,474,210,1236,6,255,6689,95,8491
2021/8/26,401005,福岡県,北九州市,1298,464,213,1254,6,289,6829,95,8686
2021/8/27,401005,福岡県,北九州市,1317,490,241,1388,6,172,6942,95,8844
2021/8/28,401005,福岡県,北九州市,1355,496,246,1396,7,202,7081,95,9027
2021/8/29,401005,福岡県,北九州市,1401,462,232,1421,7,203,7237,96,9196
